record_id,plant_id,date,energy_source,region,production_mwh,efficiency_pct,operating_cost,revenue,co2_emissions_tons,downtime_hours,maintenance_flag,profit,year,month,quarter,month_name,is_renewable,profit_margin,cost_per_mwh,revenue_per_mwh,carbon_intensity,efficiency_zscore,is_anomaly,rolling_7d_production,rolling_30d_revenue
REC0000001,PLT001,2025-05-30,Wind,Northeast,4741.7,67.39,142251.07,304332.31,0.0,1.72,0,162081.24,2025,5,2,May,1,53.26,30.0,64.18,0.0,-1.111,0,4741.7,304332.31
REC0000028,PLT028,2025-05-30,Wind,Southwest,11669.17,64.27,350075.23,877897.46,0.0,1.68,0,527822.23,2025,5,2,May,1,60.12,30.0,75.23,0.0,-1.378,0,11669.17,877897.46
REC0000029,PLT029,2025-05-30,Solar,Northeast,14871.01,73.97,371775.35,967291.57,0.0,1.22,1,595516.22,2025,5,2,May,1,61.57,25.0,65.05,0.0,-0.546,0,14871.01,967291.57
REC0000030,PLT030,2025-05-30,Geothermal,Northeast,11483.3,88.14,321532.31,960212.24,574.16,1.84,0,638679.9299999999,2025,5,2,May,1,66.51,28.0,83.62,0.05,0.67,0,11483.3,960212.24
REC0000031,PLT031,2025-05-30,Natural Gas,Midwest,31104.92,99.0,1399721.19,2162007.56,13997.21,1.42,0,762286.3700000001,2025,5,2,May,0,35.26,45.0,69.51,0.45,1.602,0,31104.92,2162007.56
REC0000032,PLT032,2025-05-30,Biomass,Midwest,5674.98,74.33,215649.27,469856.7,1305.25,1.88,0,254207.43000000002,2025,5,2,May,1,54.1,38.0,82.79,0.23,-0.515,0,5674.98,469856.7
REC0000033,PLT033,2025-05-30,Solar,Southeast,8434.83,93.67,210870.75,576674.43,0.0,1.68,0,365803.68000000005,2025,5,2,May,1,63.43,25.0,68.37,0.0,1.144,0,8434.83,576674.43
REC0000034,PLT034,2025-05-30,Biomass,West Coast,7590.7,75.78,288446.74,463398.01,1745.86,1.26,0,174951.27000000002,2025,5,2,May,1,37.75,38.0,61.05,0.23,-0.391,0,7590.7,463398.01
REC0000035,PLT035,2025-05-30,Wind,Midwest,11877.45,73.58,356323.54,967470.52,0.0,0.47,0,611146.98,2025,5,2,May,1,63.17,30.0,81.45,0.0,-0.579,0,11877.45,967470.52
REC0000036,PLT036,2025-05-30,Natural Gas,Northeast,13430.05,94.63,604352.08,1072472.51,6043.52,1.02,0,468120.43000000005,2025,5,2,May,0,43.65,45.0,79.86,0.45,1.227,0,13430.05,1072472.51
REC0000037,PLT037,2025-05-30,Natural Gas,Southwest,15699.91,96.32,706496.09,1188583.23,7064.96,1.68,0,482087.14,2025,5,2,May,0,40.56,45.0,75.71,0.45,1.372,0,15699.91,1188583.23
REC0000027,PLT027,2025-05-30,Wind,Southeast,8550.59,74.11,256517.77,584056.54,0.0,0.71,0,327538.77,2025,5,2,May,1,56.08,30.0,68.31,0.0,-0.534,0,8550.59,584056.54
REC0000039,PLT039,2025-05-30,Nuclear,Northeast,26490.02,90.09,529800.42,1512570.43,0.0,0.13,0,982770.0099999999,2025,5,2,May,0,64.97,20.0,57.1,0.0,0.837,0,26490.02,1512570.43
REC0000041,PLT041,2025-05-30,Nuclear,Midwest,16918.11,78.11,338362.11,980467.47,0.0,1.42,0,642105.36,2025,5,2,May,0,65.49,20.0,57.95,0.0,-0.191,0,16918.11,980467.47
REC0000042,PLT042,2025-05-30,Natural Gas,West Coast,40686.64,99.0,1830898.6,2644179.33,18308.99,0.83,0,813280.73,2025,5,2,May,0,30.76,45.0,64.99,0.45,1.602,0,40686.64,2644179.33
REC0000043,PLT043,2025-05-30,Natural Gas,Midwest,12787.39,88.39,575432.71,714164.54,5754.33,1.96,0,138731.83000000007,2025,5,2,May,0,19.43,45.0,55.85,0.45,0.691,0,12787.39,714164.54
REC0000044,PLT044,2025-05-30,Nuclear,Northeast,37695.62,77.85,753912.41,3182235.35,0.0,0.37,0,2428322.94,2025,5,2,May,0,76.31,20.0,84.42,0.0,-0.213,0,37695.62,3182235.35
REC0000045,PLT045,2025-05-30,Coal,Midwest,18295.71,85.55,640350.02,1471373.9,15002.49,0.95,0,831023.8799999999,2025,5,2,May,0,56.48,35.0,80.42,0.82,0.448,0,18295.71,1471373.9
REC0000046,PLT046,2025-05-30,Nuclear,West Coast,19349.91,80.39,386998.12,1617767.76,0.0,0.32,0,1230769.6400000001,2025,5,2,May,0,76.08,20.0,83.61,0.0,0.005,0,19349.91,1617767.76
REC0000047,PLT047,2025-05-30,Biomass,Southeast,4843.22,70.36,184042.29,404724.49,1113.94,1.29,0,220682.19999999998,2025,5,2,May,1,54.53,38.0,83.57,0.23,-0.856,0,4843.22,404724.49
REC0000048,PLT048,2025-05-30,Solar,Northeast,8051.83,91.68,201295.73,457436.32,0.0,0.69,0,256140.59,2025,5,2,May,1,55.99,25.0,56.81,0.0,0.974,0,8051.83,457436.32
REC0000049,PLT049,2025-05-30,Geothermal,Southwest,9649.47,80.59,270185.19,548870.9,482.47,1.63,0,278685.71,2025,5,2,May,1,50.77,28.0,56.88,0.05,0.022,0,9649.47,548870.9
REC0000050,PLT050,2025-05-30,Natural Gas,West Coast,23556.79,99.0,1060055.66,1859346.6,10600.56,0.15,0,799290.9400000002,2025,5,2,May,0,42.99,45.0,78.93,0.45,1.602,0,23556.79,1859346.6
REC0000040,PLT040,2025-05-30,Geothermal,West Coast,3187.15,67.95,89240.25,257516.31,159.36,0.05,0,168276.06,2025,5,2,May,1,65.35,28.0,80.8,0.05,-1.063,0,3187.15,257516.31
