timestamp,stage,message,records_processed
2026-05-30 21:43:20,EXTRACT,Starting data extraction from sources,18250
2026-05-30 21:43:20,EXTRACT,"Validation — Missing: 0, Duplicates: 0",0
2026-05-30 21:43:20,EXTRACT,Raw data saved to database,18250
2026-05-30 21:43:20,LOAD,Loading raw data to staging tables,18250
2026-05-30 21:43:20,LOAD,Staging tables populated successfully,18250
2026-05-30 21:43:20,TRANSFORM,Starting data transformation,0
2026-05-30 21:43:20,TRANSFORM,Date features engineered,18250
2026-05-30 21:43:20,TRANSFORM,KPI metrics calculated,18250
2026-05-30 21:43:20,TRANSFORM,Anomaly detection complete — 89 anomalies found,89
2026-05-30 21:43:20,TRANSFORM,Rolling averages computed,18250
2026-05-30 21:43:20,LOAD,Loading transformed data to analytics tables,0
2026-05-30 21:43:21,LOAD,Analytics tables created,18250
2026-05-30 21:43:21,LOAD,"Daily summary: 10,950 rows",0
2026-05-30 21:43:21,LOAD,Monthly summary: 104 rows,0
